PoolNumber,Fencer1_Name,Fencer1_Nationality,Fencer1_Score,Fencer2_Name,Fencer2_Nationality,Fencer2_Score,Score,Winner
Pool #1,IMAI Ryuto,JPN,5,LEE Matthew,NZL,1,5-1,IMAI Ryuto
Pool #1,IMAI Ryuto,JPN,5,ABDELTAWAB Youssef,QAT,0,5-0,IMAI Ryuto
Pool #1,IMAI Ryuto,JPN,5,MCCLELLAND Darcy,AUS,4,5-4,IMAI Ryuto
Pool #1,IMAI Ryuto,JPN,5,ALJAHADHMIY Hamdan,UAE,4,5-4,IMAI Ryuto
Pool #1,IMAI Ryuto,JPN,4,PROKHODOV Kirill,KAZ,5,4-5,PROKHODOV Kirill
Pool #1,IMAI Ryuto,JPN,3,J AZIZEE Adam,MAS,5,3-5,J AZIZEE Adam
Pool #1,LEE Matthew,NZL,3,ABDELTAWAB Youssef,QAT,5,3-5,ABDELTAWAB Youssef
Pool #1,LEE Matthew,NZL,3,MCCLELLAND Darcy,AUS,5,3-5,MCCLELLAND Darcy
Pool #1,LEE Matthew,NZL,0,ALJAHADHMIY Hamdan,UAE,5,0-5,ALJAHADHMIY Hamdan
Pool #1,LEE Matthew,NZL,1,PROKHODOV Kirill,KAZ,5,1-5,PROKHODOV Kirill
Pool #1,LEE Matthew,NZL,5,J AZIZEE Adam,MAS,4,5-4,LEE Matthew
Pool #1,ABDELTAWAB Youssef,QAT,5,MCCLELLAND Darcy,AUS,2,5-2,ABDELTAWAB Youssef
Pool #1,ABDELTAWAB Youssef,QAT,1,ALJAHADHMIY Hamdan,UAE,5,1-5,ALJAHADHMIY Hamdan
Pool #1,ABDELTAWAB Youssef,QAT,2,PROKHODOV Kirill,KAZ,5,2-5,PROKHODOV Kirill
Pool #1,ABDELTAWAB Youssef,QAT,5,J AZIZEE Adam,MAS,2,5-2,ABDELTAWAB Youssef
Pool #1,MCCLELLAND Darcy,AUS,1,ALJAHADHMIY Hamdan,UAE,5,1-5,ALJAHADHMIY Hamdan
Pool #1,MCCLELLAND Darcy,AUS,3,PROKHODOV Kirill,KAZ,5,3-5,PROKHODOV Kirill
Pool #1,MCCLELLAND Darcy,AUS,5,J AZIZEE Adam,MAS,1,5-1,MCCLELLAND Darcy
Pool #1,ALJAHADHMIY Hamdan,UAE,3,PROKHODOV Kirill,KAZ,5,3-5,PROKHODOV Kirill
Pool #1,ALJAHADHMIY Hamdan,UAE,5,J AZIZEE Adam,MAS,1,5-1,ALJAHADHMIY Hamdan
Pool #1,PROKHODOV Kirill,KAZ,5,J AZIZEE Adam,MAS,1,5-1,PROKHODOV Kirill
Pool #2,GAURAV Gaurav,IND,5,HSU Jia Huan Kenton,HKG,4,5-4,GAURAV Gaurav
Pool #2,GAURAV Gaurav,IND,5,SALARPOR Hossein,IRI,4,5-4,GAURAV Gaurav
Pool #2,GAURAV Gaurav,IND,5,MUNKHKHASAR Ulaankhuu,MGL,1,5-1,GAURAV Gaurav
Pool #2,GAURAV Gaurav,IND,5,LEE Benjamin Shijie,SGP,2,5-2,GAURAV Gaurav
