Fencer,Nationality,Victories,Defeats,TS,TR,Difference
HAN Jungmin,KOR,6,0,30,20,10
KIM Dohyun,KOR,6,0,30,15,15
PROKHODOV Kirill,KAZ,6,0,30,14,16
ALNAKKAS Ali,KUW,5,0,25,9,16
CHEN Bing-Jyun,TPE,5,1,27,18,9
GAURAV Gaurav,IND,5,1,28,19,9
MUSTAFIN Gabidin,KAZ,5,1,28,18,10
PENG Shengwei,CHN,5,1,28,19,9
SHI Jinze,CHN,5,0,25,16,9
TIMUROV Meyirkhan,UZB,5,0,21,6,15
TINNIKOV Georgiy,KAZ,5,0,25,12,13
YUEN Nok Man,HKG,5,1,27,21,6
YUMINAGA Takayuki,JPN,5,0,25,9,16
ABED Hassan,KSA,4,2,24,15,9
ALJAHADHMIY Hamdan,UAE,4,2,27,13,14
GAO Ying Chuen,HKG,4,1,21,9,12
GO Dongyeon,KOR,4,2,25,23,2
HAZAZI Ahmed,KSA,4,1,24,14,10
HUANG Fohei,MAC,4,2,22,19,3
IMAI Ryuto,JPN,4,2,27,19,8
ISLAMOV Rustam,KGZ,4,1,23,21,2
LIN Jhe-Cyun,TPE,4,1,23,14,9
LUKIN Bogdan,KAZ,4,1,24,14,10
ROBINSON Sora,AUS,4,2,22,20,2
TURISHEV Iskandar,UZB,4,2,25,14,11
VEMANI Lokesh,IND,4,2,27,16,11
WONG Chi Ho,HKG,4,1,21,10,11
YANG Zhixing,SGP,4,2,23,21,2
YOSHIDA Soshi,JPN,4,1,22,20,2
ABDELTAWAB Youssef,QAT,3,3,18,22,-4
ABDULALI Muhammad,QAT,3,3,24,25,-1
ALBINALI Yousef,KSA,3,2,17,18,-1
ALBLOOSHI Saleh,UAE,3,2,22,17,5
BALL LA HOOD Joel,NZL,3,2,20,19,1
CHIU Sheng-Hsuan,TPE,3,2,20,18,2
CHOI Jeonghue,KOR,3,2,23,17,6
DELLER Thomas,AUS,3,3,23,22,1
FAYZIEV Ahmadjon,UZB,3,2,21,19,2
GOH Jinlin,AUS,3,3,21,23,-2
HSU Jia Huan Kenton,HKG,3,3,23,22,1
ISMOILOV Kamronbek,UZB,3,3,27,24,3
LEE Rang,TPE,3,2,20,16,4
LEPIKHOV Daniil,KGZ,3,3,25,22,3
ONG Azfar Luqman,SGP,3,2,21,14,7
SANKII Livaitengis,MGL,3,3,23,23,0
SHINODA Shingo,JPN,3,3,21,24,-3
SU Zhiwei,CHN,3,2,16,13,3
XIA Boyang,CHN,3,2,21,15,6
AL HARTHI Al Harith,OMA,2,4,21,25,-4
AL JADRA Abdulrahman,QAT,2,4,21,21,0
ALAWADHI Abdulaziz,KUW,2,4,21,21,0
ALFUZAYA Ali,KSA,2,4,16,25,-9
ALHARBAN Rakan,KUW,2,3,17,16,1
DAJANI Ja'afar,JOR,2,3,15,21,-6
DEL CASTILLO Oscar Gabriel,PHI,2,3,19,20,-1
FUENTES Enrico Gabriel,PHI,2,4,21,25,-4
JOSHI Balram,IND,2,3,17,19,-2
LEE Benjamin Shijie,SGP,2,4,22,26,-4
MCCLELLAND Darcy,AUS,2,4,20,24,-4
MUNKHKHASAR Ulaankhuu,MGL,2,4,20,23,-3
NAMAZI Ali,IRI,2,3,19,18,1
RAIYMBEKOV Barsbek,KGZ,2,3,17,21,-4
SUN QI Cevin,SGP,2,3,18,19,-1
ALNASER Abdallah,JOR,1,4,14,22,-8
ALZAMEL Ghazi,KUW,1,4,15,24,-9
BYAMBATSOGT Chinguun,MGL,1,4,12,24,-12
CHIANG Chi Hang,MAC,1,4,10,24,-14
J AZIZEE Adam,MAS,1,5,14,28,-14
LEE Matthew,NZL,1,5,13,29,-16
NAZMAN SHAH Ahmad Aiman Shah,MAS,1,5,19,27,-8
PETERSON Nolan,NZL,1,4,15,24,-9
SALARPOR Hossein,IRI,1,5,18,27,-9
SALEH Mohammad,JOR,1,4,15,24,-9
SANKII Lukatemuun,MGL,1,4,16,24,-8
SUNG Ka Wing,MAC,1,4,10,21,-11
AL-ABDALLAT Monther,JOR,0,5,7,25,-18
ALKHLIF Ali,QAT,0,5,11,25,-14
ANG Zi Jaye,MAS,0,6,11,30,-19
ASHWINI Shaurya,IND,0,5,16,25,-9
GALLANO Ruzel,PHI,0,6,12,29,-17
HAYES Elliot,NZL,0,6,13,30,-17
LEE Chi On,MAC,0,5,10,25,-15
MALINAO John Agasti,PHI,0,5,12,24,-12
TAKHSHA Arash,IRI,0,6,14,30,-16
